Country,Latitude,Longitude
Afghanistan,33.93911,67.706944
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Argentina,-38.4161,-63.6167
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.0342,-77.3933
Bangladesh,23.6811,90.3563
Belgium,50.5011,4.4697
Benin,9.3077,2.3158
Bolivia,-16.6799,-64.6667
Bosnia and Herzegovina,43.9028,17.6797
Brazil,-14.235,-51.9253
Bulgaria,42.7339,25.4583
Burkina Faso,12.6675,-1.5547
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3467
Chile,-35.6751,-71.5426
China,35.8616,104.1954
Colombia,4.5709,-74.2973
Congo,-4.2661,15.3271
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.7578,-77.4139
Czechia,49.8175,15.4729
Denmark,56.2589,9.5017
Ecuador,-1.8312,-78.18
Egypt,30.0626,31.2497
El Salvador,13.7942,-88.8961
Estonia,59.4372,24.7536
Ethiopia,9.145,40.4897
Finland,61.9241,25.7481
France,46.2276,2.2137
Georgia,42.3154,43.3569
Germany,51.1657,10.4515
Ghana,7.9465,-1.0236
Greece,39.0792,21.8243
Guatemala,15.5006,90.2689
Haiti,18.9654,72.2852
Hungary,47.1625,19.5037
Iceland,64.963,-19.0191
India,20.5937,78.9629
Iran,32.4279,53.688
Iraq,33.2231,43.6797
Ireland,53.4129,-8.2439
Israel,31.0461,34.8516
Italy,41.8719,12.5626
Ivory Coast,7.539,-5.5471
Japan,36.2048,138.2529
Kenya,-0.0236,37.9062
Kuwait,29.3117,47.4818
Latvia,56.9497,24.1052
Lebanon,33.8547,35.8623
Lithuania,55.1694,23.6631
Luxembourg,49.8153,6.1296
Malaysia,4.2105,101.9758
Mali,17.5907,-3.9979
Mexico,23.6345,102.5528
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5295
Namibia,-22.9576,18.4904
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nicaragua,12.8657,-85.2078
Nigeria,9.0817,8.6753
North Macedonia,41.6086,21.7453
Norway,60.4791,8.4699
Pakistan,30.3753,71.0781
Palestinian territories,31.9522,35.2332
Panama,8.538,-80.7821
Paraguay,-23.4425,58.4438
Peru,-9.1899,77.0283
Philippines,14.6042,120.9822
Poland,51.9194,19.1451
Portugal,38.7223,-9.1351
Puerto Rico,18.2208,-66.6057
Romania,45.9432,24.9979
Russia,61.524,105.3188
Scotland,56.95,-4.5
Senegal,14.4333,-14.4833
Serbia,44.8183,20.4667
Sierra Leone,8.4667,-11.7833
Singapore,1.3521,103.8198
Slovakia,48.669,19.699
Slovenia,46.1562,14.9914
South Africa,-30.5595,22.9283
South Korea,37.5326,127
Spain,40.4,-3.6833
Sudan,15.6018,32.5333
Sweden,60.1282,16.2481
Switzerland,46.8182,8.2275
Taiwan,23.6978,120.9605
Tanzania,-6.369,34.8888
Thailand,15.8701,100.9925
Tunisia,33.8869,9.5375
Turkey,38.9637,35.2433
Uganda,1.3733,32.2936
Ukraine,48.3794,31.1655
United Arab Emirates,23.4241,53.8478
United Kingdom,51.5074,-0.1278
United States of America,37.7833,-97.4833
Uruguay,-34.9033,-56.1889
Venezuela,8.0667,-66.4667
Vietnam,16.1667,107.8333
Wales,52.1329,-3.9375
Zimbabwe,-19.0155,29.1549
